UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRET_PCF,RET_PCF,XRET_PCP,RET_PCP 
120403,"R",123,"R",205,"R",60,"R",75,"A",
120421,"R",280,"R",1541,"R",18,"R",64,"R",43
120537,"R",104,"R",268,"R",39,"R",61,"R",33
120661,"R",397,"R",397,"R",100,"R",89,"A",
120838,"R",14,"R",14,"R",100,"R",80,"A",
120865,"R",321,"R",464,"R",69,"R",72,"R",46
120883,"R",877,"R",1114,"R",79,"R",84,"R",100
120953,"R",48,"R",1207,"R",4,"R",58,"R",43
120971,"R",1501,"R",7068,"R",21,"R",67,"R",45
121008,"R",18,"R",59,"R",31,"R",83,"R",93
121017,"R",50,"R",174,"R",29,"R",50,"R",50
121044,"R",1557,"R",7993,"R",19,"R",75,"R",53
121071,"R",65,"R",244,"R",27,"R",47,"R",51
121150,"R",723,"R",892,"R",81,"R",89,"A",
121257,"R",223,"R",256,"R",87,"R",88,"Z",0
121275,"R",167,"R",167,"R",100,"R",55,"A",
121309,"R",535,"R",683,"R",78,"R",83,"R",100
