UNITID,xgrcohrt,grcohrt,xugenter,ugentern,xpgrcohr,pgrcohrt,XRET_PCF,RET_PCF,XRET_PCP,RET_PCP
418384,R,8,R,19,R,42,C,,C,
418393,R,224,R,224,R,100,R,74,B,
418409,R,47,R,47,R,100,R,67,C,
418418,R,35,R,35,R,100,R,100,C,
418427,R,16,R,16,R,100,R,81,B,
418445,R,34,R,34,R,100,R,89,C,
418481,R,43,R,43,R,100,R,83,C,
418506,R,49,R,49,R,100,B,,B,
418515,R,49,R,65,R,75,R,93,R,90
418524,R,15,R,27,R,55,B,,B,
418533,R,220,R,262,R,83,R,84,R,69
418542,R,72,R,72,R,100,R,100,C,
418588,R,28,R,29,R,96,R,89,B,
418603,R,34,R,58,R,58,R,82,R,65
418612,R,38,R,38,R,100,R,100,B,
418658,A,,A,,A,,B,,R,73
418700,R,363,R,714,R,50,B,,B,
418719,R,161,R,161,R,100,R,78,B,
418737,R,94,R,94,R,100,B,,B,
418755,R,117,R,117,R,100,R,85,C,
418764,R,14,R,24,R,58,R,77,B,
418773,R,1358,R,1358,R,100,B,,B,
418782,R,170,R,313,R,54,B,,B,
418791,R,58,R,58,R,100,B,,B,
418870,R,70,R,89,R,78,B,,B,
418889,R,49,R,80,R,61,B,,B,
418898,R,54,R,54,R,100,R,77,C,
418904,R,20,R,24,R,83,R,20,B,
418913,R,46,R,46,R,100,B,,B,
418968,R,35,R,125,R,28,B,,B,
419022,R,595,R,595,R,100,B,,B,
419031,R,26,R,27,R,96,R,96,B,
419095,R,30,R,51,R,58,B,,B,
419101,R,20,R,59,R,33,B,,B,
419147,R,62,R,72,R,86,R,82,R,75
419156,R,53,R,91,R,58,B,,B,
419183,R,33,R,123,R,26,B,,B,
419217,R,10,R,81,R,12,C,,C,
419226,R,481,R,708,R,67,B,,B,
419235,R,46,R,164,R,28,B,,B,
419244,R,23,R,85,R,27,R,60,R,50
419253,R,62,R,62,R,100,B,,B,
419262,R,40,R,40,R,100,R,88,C,
419271,R,4,R,30,R,13,B,,B,
419280,R,15,R,18,R,83,B,,B,
419305,R,202,R,202,R,100,R,85,B,
419314,R,24,R,24,R,100,R,81,B,
419332,R,9,R,15,R,60,B,,B,
419341,R,41,R,41,R,100,B,,B,
419350,R,126,R,126,R,100,R,52,B,
419378,R,218,R,289,R,75,B,,B,
419411,R,61,R,246,R,24,B,,B,
419420,R,23,R,44,R,52,C,,C,
419439,R,26,R,28,R,92,R,65,C,
419466,R,109,R,200,R,54,B,,B,
419484,R,33,R,33,R,100,B,,B,
419509,R,12,R,384,R,3,R,0,R,0
419633,R,49,R,49,R,100,R,77,C,
419660,R,511,R,523,R,97,Z,0,Z,0
419688,R,78,R,78,R,100,B,,B,
419703,R,386,R,685,R,56,B,,B,
419712,R,162,R,261,R,62,B,,B,
419721,R,264,R,317,R,83,B,,B,
420006,R,99,R,400,R,24,R,73,R,73
420024,R,189,R,189,R,100,B,,B,
420042,R,7,R,135,R,5,R,0,R,0
420103,R,93,R,166,R,56,B,,B,
420130,R,39,R,77,R,50,R,87,R,72
420194,R,239,R,239,R,100,B,,B,
420200,R,23,R,48,R,47,B,,B,
420255,R,31,R,109,R,28,R,80,B,
420307,R,619,R,2685,R,23,R,67,R,72
420316,R,41,R,75,R,54,B,,B,
420325,R,30,R,30,R,100,B,,B,
420343,R,1099,R,1099,R,100,R,50,B,
420352,R,7,R,7,R,100,R,50,R,50
420398,R,528,R,774,R,68,B,,B,
420404,R,170,R,173,R,98,B,,B,
420431,R,104,R,247,R,42,B,,B,
420440,R,111,R,459,R,24,R,57,R,50
420459,R,77,R,100,R,77,B,,B,
420468,R,293,R,406,R,72,B,,B,
420495,R,919,R,981,R,93,B,,B,
420501,R,159,R,349,R,45,B,,B,
420538,R,196,R,497,R,39,B,,B,
420556,R,17,R,86,R,19,B,,B,
420574,R,5,R,654,R,0,B,,B,
420583,R,24,R,24,R,100,R,100,C,
420608,R,28,R,226,R,12,B,,B,
420723,R,14,R,143,R,9,R,40,C,
420796,R,70,R,71,R,98,B,,B,
420857,R,161,R,272,R,59,R,100,B,
420981,R,10,R,52,R,19,B,,B,
421009,R,28,R,329,R,8,R,0,R,0
421018,R,53,R,461,R,11,R,0,R,0
421513,R,47,R,47,R,100,B,,C,
421540,R,62,R,100,R,62,C,,C,
421559,R,67,R,77,R,87,C,,C,
421586,R,52,R,52,R,100,B,,B,
421601,R,10,R,10,R,100,R,100,C,
421610,R,9,R,17,R,52,R,42,R,58
421647,A,,A,,A,,C,,R,100
421665,R,5,R,10,R,50,R,67,R,83
421708,R,202,R,202,R,100,R,100,C,
421717,R,9,R,13,R,69,C,,C,
421771,R,70,R,70,R,100,B,,B,
421805,R,4,R,4,R,100,B,,B,
421832,R,73,R,84,R,86,B,,B,
421841,R,61,R,119,R,51,R,50,B,
421878,R,100,R,128,R,78,B,,B,
421896,R,32,R,66,R,48,B,,B,
421902,R,65,R,65,R,100,B,,B,
421920,R,24,R,24,R,100,B,,B,
421939,R,16,R,16,R,100,R,91,C,
422020,R,54,R,54,R,100,B,,B,
422039,R,10,R,116,R,8,B,,B,
422118,R,255,R,267,R,95,R,68,R,89
422695,R,60,R,199,R,30,C,,C,
422835,R,54,R,54,R,100,B,,B,
423120,R,492,R,492,R,100,B,,C,
423397,R,25,R,86,R,29,B,,B,
423412,R,49,R,49,R,100,R,75,C,
423476,R,45,R,96,R,46,R,71,R,100
423582,R,106,R,157,R,67,C,,C,
423652,R,16,R,267,R,5,R,25,R,31
423661,R,31,R,31,R,100,B,,B,
423670,R,41,R,94,R,43,R,48,C,
423980,R,279,R,279,R,100,B,,B,
424424,R,213,R,213,R,100,B,,B,
425250,R,65,R,141,R,46,B,,B,
425296,R,63,R,115,R,54,B,,B,
425393,R,26,R,35,R,74,R,100,B,
425889,R,223,R,303,R,73,R,21,R,21
425986,R,120,R,123,R,97,R,76,B,
426314,R,3,R,1687,R,0,B,,B,
427308,R,142,R,256,R,55,B,,B,
427335,R,66,R,150,R,44,B,,B,
427663,R,88,R,91,R,96,B,,B,
427894,R,22,R,94,R,23,B,,B,
427919,R,64,R,73,R,87,B,,B,
427973,R,199,R,199,R,100,B,,B,
427982,R,296,R,296,R,100,R,70,B,
427991,R,40,R,284,R,14,B,,B,
428000,R,1,R,43,R,2,B,,B,
428019,R,153,R,153,R,100,B,,B,
428055,R,20,R,20,R,100,R,83,B,
428073,R,29,R,34,R,85,R,70,B,
428091,R,215,R,215,R,100,R,89,B,
428125,R,55,R,68,R,80,B,,B,
428134,R,62,R,62,R,100,R,75,C,
428143,R,97,R,97,R,100,R,85,C,
428170,R,193,R,604,R,31,B,,B,
428222,R,2733,R,3102,R,88,B,,B,
428286,R,247,R,382,R,64,B,,B,
428295,R,24,R,36,R,66,B,,B,
428329,R,39,R,51,R,76,R,58,C,
428347,R,88,R,92,R,95,B,,B,
428392,R,147,R,263,R,55,B,,B,
428444,R,369,R,473,R,78,B,,B,
429003,R,252,R,252,R,100,R,100,C,
429012,R,269,R,276,R,97,B,,B,
429021,R,47,R,47,R,100,R,98,B,
429100,R,120,R,120,R,100,B,,B,
429128,R,6,R,151,R,3,B,,B,
429216,R,436,R,436,R,100,B,,B,
429599,R,135,R,137,R,98,B,,B,
430050,R,438,R,438,R,100,B,,B,
430087,R,9,R,53,R,16,B,,B,
430096,R,87,R,130,R,66,B,,B,
430102,R,0,R,22,R,0,B,,R,67
430148,R,47,R,294,R,15,B,,B,
430157,R,19,R,83,R,22,B,,B,
430166,R,27,R,70,R,38,B,,B,
430175,R,711,R,711,R,100,B,,B,
430218,R,74,R,93,R,79,B,,B,
430227,R,82,R,96,R,85,B,,B,
430245,R,116,R,375,R,30,R,51,B,
430254,R,178,R,427,R,41,B,,B,
430263,R,75,R,85,R,88,B,,B,
430342,R,70,R,70,R,100,B,,B,
430351,R,82,R,84,R,97,B,,B,
430360,R,118,R,128,R,92,B,,B,
430379,R,158,R,166,R,95,B,,B,
430388,R,140,R,146,R,95,B,,B,
430403,R,20,R,47,R,42,R,75,R,72
430421,R,354,R,408,R,86,R,83,C,
430485,R,56,R,68,R,82,R,93,C,
430500,R,0,R,2,R,0,B,,R,100
430564,R,11,R,39,R,28,R,100,R,100
430582,R,288,R,288,R,100,B,,B,
430616,R,122,R,122,R,100,B,,B,
430722,R,27,R,27,R,100,R,90,R,10
430795,R,79,R,268,R,29,B,,B,
430810,R,75,R,122,R,61,B,,B,
430847,R,6,R,15,R,40,B,,B,
430883,R,17,R,36,R,47,R,82,C,
430908,R,19,R,24,R,79,B,,B,
430917,R,137,R,137,R,100,R,78,C,
430935,R,121,R,186,R,65,R,70,R,60
430962,R,54,R,89,R,60,B,,B,
430971,R,27,R,71,R,38,B,,B,
430980,R,375,R,375,R,100,B,,B,
430999,R,38,R,38,R,100,B,,B,
431017,R,47,R,58,R,81,R,82,R,84
431044,A,,A,,A,,B,,R,84
431071,R,17,R,21,R,80,B,,B,
431099,R,21,R,63,R,33,R,86,R,88
431105,R,59,R,82,R,71,R,87,R,100
431123,R,621,R,621,R,100,B,,B,
431141,R,1078,R,1219,R,88,R,70,C,
