"ID","Year","Retention","Type"
175810,2014,58,"FT"
175829,2014,72,"FT"
175856,2014,78,"FT"
175883,2014,50,"FT"
175935,2014,60,"FT"
176008,2014,57,"FT"
176017,2014,85,"FT"
176044,2014,65,"FT"
176053,2014,72,"FT"
176071,2014,63,"FT"
176080,2014,80,"FT"
176169,2014,67,"FT"
176178,2014,59,"FT"
176239,2014,60,"FT"
176354,2014,60,"FT"
176372,2014,74,"FT"
176789,2014,54,"FT"
176798,2014,71,"FT"
176965,2014,70,"FT"
177065,2014,58,"FT"
177135,2014,64,"FT"
177250,2014,57,"FT"
177551,2014,51,"FT"
177676,2014,59,"FT"
177968,2014,70,"FT"
177977,2014,79,"FT"
177995,2014,56,"FT"
178208,2014,81,"FT"
178217,2014,67,"FT"
178244,2014,63,"FT"
178341,2014,65,"FT"
178369,2014,52,"FT"
178387,2014,64,"FT"
178396,2014,86,"FT"
178402,2014,73,"FT"
178411,2014,86,"FT"
178420,2014,79,"FT"
178448,2014,56,"FT"
178527,2014,95,"FT"
178615,2014,88,"FT"
178624,2014,71,"FT"
178679,2014,79,"FT"
178721,2014,75,"FT"
179326,2014,67,"FT"
179344,2014,40,"FT"
179539,2014,59,"FT"
179557,2014,73,"FT"
179566,2014,75,"FT"
179645,2014,61,"FT"
179715,2014,59,"FT"
179867,2014,97,"FT"
179894,2014,77,"FT"
180081,2014,51,"FT"
180151,2014,58,"FT"
180179,2014,57,"FT"
180197,2014,56,"FT"
180212,2014,55,"FT"
180249,2014,58,"FT"
180276,2014,59,"FT"
180328,2014,56,"FT"
180373,2014,67,"FT"
180416,2014,71,"FT"
180461,2014,76,"FT"
180489,2014,73,"FT"
180522,2014,59,"FT"
180692,2014,67,"FT"
180814,2014,48,"FT"
180878,2014,83,"FT"
180902,2014,65,"FT"
180948,2014,65,"FT"
181215,2014,80,"FT"
181303,2014,47,"FT"
181312,2014,59,"FT"
181394,2014,77,"FT"
181464,2014,84,"FT"
181491,2014,69,"FT"
181534,2014,58,"FT"
181640,2014,61,"FT"
181817,2014,59,"FT"
182281,2014,77,"FT"
182290,2014,82,"FT"
182306,2014,65,"FT"
182892,2014,96,"FT"
183026,2014,68,"FT"
183062,2014,76,"FT"
183080,2014,74,"FT"
183099,2014,59,"FT"
183105,2014,67,"FT"
183114,2014,63,"FT"
183123,2014,62,"FT"
183132,2014,64,"FT"
183141,2014,58,"FT"
183150,2014,57,"FT"
183257,2014,52,"FT"
183600,2014,100,"FT"
183655,2014,60,"FT"
183743,2014,67,"FT"
183789,2014,64,"FT"
183859,2014,69,"FT"
183877,2014,63,"FT"
183938,2014,63,"FT"
184180,2014,73,"FT"
184205,2014,66,"FT"
184481,2014,58,"FT"
184506,2014,64,"FT"
184603,2014,67,"FT"
184694,2014,82,"FT"
184746,2014,81,"FT"
184782,2014,84,"FT"
184791,2014,66,"FT"
184816,2014,70,"FT"
184995,2014,55,"FT"
